Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,ClusterLabel
12346.0,169.36,2,2010-06-28 13:53:00,164,0,RETAIN
12347.0,1323.32,2,2010-12-07 14:57:00,2,3,REWARD
12348.0,221.16,1,2010-09-27 14:59:00,73,2,NURTURE
12349.0,2221.14,2,2010-10-28 08:23:00,42,3,REWARD
12351.0,300.93,1,2010-11-29 15:23:00,10,2,NURTURE
12352.0,343.8,2,2010-11-29 10:07:00,10,2,NURTURE
12353.0,317.76,1,2010-10-27 12:44:00,43,2,NURTURE
12355.0,488.21000000000004,1,2010-05-21 11:59:00,202,0,RETAIN
12356.0,3126.25,3,2010-11-24 12:24:00,15,1,RE-ENGAGE
12358.0,2519.01,3,2010-11-29 10:56:00,10,3,REWARD
12359.0,2563.36,6,2010-10-10 11:16:00,60,1,RE-ENGAGE
12360.0,1310.83,3,2010-11-12 11:31:00,27,3,REWARD
12361.0,276.35,3,2010-09-03 15:19:00,97,2,NURTURE
12366.0,500.24,1,2010-03-16 10:28:00,268,0,RETAIN
12368.0,917.6999999999999,1,2010-03-21 15:56:00,263,0,RETAIN
12369.0,1511.15,3,2010-10-22 13:13:00,48,3,REWARD
12370.0,534.62,3,2010-03-25 12:10:00,259,0,RETAIN
12371.0,1819.42,3,2010-10-26 13:37:00,44,3,REWARD
12373.0,603.0500000000001,2,2010-03-25 13:49:00,259,0,RETAIN
12374.0,2046.29,2,2010-10-14 10:16:00,56,3,REWARD
12376.0,383.15,2,2010-11-15 12:15:00,24,2,NURTURE
12377.0,1718.2,2,2010-11-23 19:24:00,16,3,REWARD
12378.0,1407.7,1,2010-05-26 14:07:00,197,0,RETAIN
12379.0,692.98,2,2010-10-13 14:46:00,57,2,NURTURE
12385.0,1668.4,1,2010-11-25 15:14:00,14,3,REWARD
12386.0,258.9,1,2010-12-08 09:53:00,1,2,NURTURE
12387.0,143.94,1,2010-10-20 16:27:00,50,2,NURTURE
12388.0,1120.45,2,2010-09-20 12:41:00,80,2,NURTURE
12389.0,1433.33,3,2010-11-02 11:52:00,37,3,REWARD
12391.0,2312.53,5,2010-09-01 12:38:00,99,1,RE-ENGAGE
12392.0,234.75000000000003,1,2010-04-27 14:04:00,226,0,RETAIN
12393.0,816.85,2,2010-11-22 16:10:00,17,2,NURTURE
12395.0,1868.64,4,2010-12-03 16:35:00,6,3,REWARD
12396.0,931.43,1,2010-02-03 13:22:00,309,0,RETAIN
12399.0,808.65,3,2010-11-19 08:53:00,20,3,REWARD
12400.0,205.25,1,2010-10-21 13:45:00,49,2,NURTURE
12402.0,941.3,5,2010-11-12 09:50:00,27,3,REWARD
12403.0,555.6600000000001,1,2010-07-06 11:39:00,156,0,RETAIN
12406.0,2975.06,3,2010-11-05 11:42:00,34,1,RE-ENGAGE
12408.0,1287.22,3,2010-11-19 13:21:00,20,3,REWARD
12410.0,240.38,1,2010-07-25 13:26:00,137,2,NURTURE
12411.0,346.9,1,2010-10-26 09:25:00,44,2,NURTURE
12412.0,1262.05,3,2010-11-02 17:02:00,37,3,REWARD
12413.0,185.35,1,2010-11-02 13:26:00,37,2,NURTURE
12414.0,90.0,1,2010-09-02 12:22:00,98,2,NURTURE
12416.0,202.56,1,2010-02-21 10:19:00,291,0,RETAIN
12417.0,2791.81,11,2010-10-25 14:27:00,45,1,RE-ENGAGE
12418.0,1352.62,3,2010-10-22 10:29:00,48,3,REWARD
12419.0,391.01,2,2010-11-19 10:04:00,20,2,NURTURE
12421.0,235.56,2,2010-10-20 14:28:00,50,2,NURTURE
12422.0,2955.79,9,2010-11-10 13:19:00,29,1,RE-ENGAGE
12423.0,667.08,2,2010-11-17 11:33:00,22,2,NURTURE
12424.0,1579.07,2,2010-10-13 10:29:00,57,3,REWARD
12425.0,964.21,1,2010-09-17 14:10:00,83,2,NURTURE
12426.0,690.48,1,2010-02-15 08:41:00,297,0,RETAIN
12427.0,249.5,1,2010-12-03 10:44:00,6,2,NURTURE
12429.0,3591.51,5,2010-12-09 12:05:00,0,1,RE-ENGAGE
12434.0,297.29,1,2010-11-23 13:38:00,16,2,NURTURE
